id	type	datasetID	institutionCode	collectionCode	basisOfRecord	occurrenceID	catalogNumber	individualCount	sex	preparations	samplingProtocol	sampleSizeValue	sampleSizeUnit	habitat	fieldNumber	locality	minimumDepthInMeters	maximumDepthInMeters	identifiedBy	identificationReferences	scientificNameID	scientificName	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	scientificNameAuthorship	nomenclaturalCode	taxonRemarks
3023	Dataset	4	Hellenic Centre for Marine Research- Institute of Marine Biology, Biotechnology and Aquaculture	Benthic communities in Amvrakikos Wetlands: Mazoma, Tsopeli,Tsoukalio, Rodia and Logarou lagoons (September 2010 ñ July 2011)	HumanObservation	3023	GR-Amvrakikos Benthic communities-2LO_outD-58	1			box corer.0.03 square meters			coastal lagoon	2LO_outD	Amvrakikos Kolpos - Logarou lagoon	0.7	0.7			urn:lsid:marinespecies.org:taxname:1360	Actiniaria	Animalia	Cnidaria	Anthozoa	Actiniaria							name in original file:Actiniaria sp.
3266	Dataset	4	Hellenic Centre for Marine Research- Institute of Marine Biology, Biotechnology and Aquaculture	Benthic communities in Amvrakikos Wetlands: Mazoma, Tsopeli,Tsoukalio, Rodia and Logarou lagoons (September 2010 ñ July 2011)	HumanObservation	3266	GR-Amvrakikos Benthic communities-1M_outC-2878	1			box corer.0.03 square meters			coastal lagoon	1M_outC	Amvrakikos Kolpos - Mazoma lagoon	0.7	0.7			urn:lsid:marinespecies.org:taxname:129876	Capitella capitata	Animalia	Annelida	Polychaeta	Capitellida	Capitellidae	Capitella		capitata	(Fabricius, 1780)		name in original file:Capitella capitata
3856	Dataset	4	Hellenic Centre for Marine Research- Institute of Marine Biology, Biotechnology and Aquaculture	Benthic communities in Amvrakikos Wetlands: Mazoma, Tsopeli,Tsoukalio, Rodia and Logarou lagoons (September 2010 ñ July 2011)	HumanObservation	3856	GR-Amvrakikos Benthic communities-1M_outE-3020	4			box corer.0.03 square meters			coastal lagoon	1M_outE	Amvrakikos Kolpos - Mazoma lagoon	0.7	0.7			urn:lsid:marinespecies.org:taxname:102092	Corophium insidiosum	Animalia	Arthropoda	Malacostraca	Amphipoda	Corophiidae	Corophium		insidiosum	Crawford, 1937†		name in original file:Corophium insidiosum
3268	Dataset	4	Hellenic Centre for Marine Research- Institute of Marine Biology, Biotechnology and Aquaculture	Benthic communities in Amvrakikos Wetlands: Mazoma, Tsopeli,Tsoukalio, Rodia and Logarou lagoons (September 2010 ñ July 2011)	HumanObservation	3268	GR-Amvrakikos Benthic communities-2M_outA-2921	1			box corer.0.03 square meters			coastal lagoon	2M_outA	Amvrakikos Kolpos - Mazoma lagoon	0.7	0.7			urn:lsid:marinespecies.org:taxname:146761	Capitomastus minimus	Animalia	Annelida	Polychaeta		Capitellidae	Capitomastus		minimus	(Langerhans, 1881)		name in original file:Capitomastus minimus
3829	Dataset	4	Hellenic Centre for Marine Research- Institute of Marine Biology, Biotechnology and Aquaculture	Benthic communities in Amvrakikos Wetlands: Mazoma, Tsopeli,Tsoukalio, Rodia and Logarou lagoons (September 2010 ñ July 2011)	HumanObservation	3829	GR-Amvrakikos Benthic communities-4LO_inC-1202	4			box corer.0.03 square meters			coastal lagoon	4LO_inC	Amvrakikos Kolpos - Logarou lagoon	0.5	0.5			urn:lsid:marinespecies.org:taxname:234211	Janua (Dexiospira) corrugata								corrugata	(Montagu, 1803)		name in original file:Janua corrugata
3239	Dataset	4	Hellenic Centre for Marine Research- Institute of Marine Biology, Biotechnology and Aquaculture	Benthic communities in Amvrakikos Wetlands: Mazoma, Tsopeli,Tsoukalio, Rodia and Logarou lagoons (September 2010 ñ July 2011)	HumanObservation	3239	GR-Amvrakikos Benthic communities-1LO_inC-2616	1			box corer.0.03 square meters			coastal lagoon	1LO_inC	Amvrakikos Kolpos - Logarou lagoon	0.5	0.5			urn:lsid:marinespecies.org:taxname:794	Turbellaria	Animalia	Platyhelminthes	Turbellaria								name in original file:Turbellaria sp.
3240	Dataset	4	Hellenic Centre for Marine Research- Institute of Marine Biology, Biotechnology and Aquaculture	Benthic communities in Amvrakikos Wetlands: Mazoma, Tsopeli,Tsoukalio, Rodia and Logarou lagoons (September 2010 ñ July 2011)	HumanObservation	3240	GR-Amvrakikos Benthic communities-1LO_outA-2619	1			box corer.0.03 square meters			coastal lagoon	1LO_outA	Amvrakikos Kolpos - Logarou lagoon	0.7	0.7			urn:lsid:marinespecies.org:taxname:794	Turbellaria	Animalia	Platyhelminthes	Turbellaria								name in original file:Turbellaria sp.
3241	Dataset	4	Hellenic Centre for Marine Research- Institute of Marine Biology, Biotechnology and Aquaculture	Benthic communities in Amvrakikos Wetlands: Mazoma, Tsopeli,Tsoukalio, Rodia and Logarou lagoons (September 2010 ñ July 2011)	HumanObservation	3241	GR-Amvrakikos Benthic communities-1LO_outB-2620	1			box corer.0.03 square meters			coastal lagoon	1LO_outB	Amvrakikos Kolpos - Logarou lagoon	0.7	0.7			urn:lsid:marinespecies.org:taxname:794	Turbellaria	Animalia	Platyhelminthes	Turbellaria								name in original file:Turbellaria sp.
3830	Dataset	4	Hellenic Centre for Marine Research- Institute of Marine Biology, Biotechnology and Aquaculture	Benthic communities in Amvrakikos Wetlands: Mazoma, Tsopeli,Tsoukalio, Rodia and Logarou lagoons (September 2010 ñ July 2011)	HumanObservation	3830	GR-Amvrakikos Benthic communities-1LO_outA-1254	4			box corer.0.03 square meters			coastal lagoon	1LO_outA	Amvrakikos Kolpos - Logarou lagoon	0.7	0.7			urn:lsid:marinespecies.org:taxname:118956	Lekanesphaera monodi	Animalia	Arthropoda	Malacostraca	Isopoda	Sphaeromatidae	Lekanesphaera		monodi	(Arcangeli, 1934)		name in original file:Lekanesphaera monodi
3468	Dataset	4	Hellenic Centre for Marine Research- Institute of Marine Biology, Biotechnology and Aquaculture	Benthic communities in Amvrakikos Wetlands: Mazoma, Tsopeli,Tsoukalio, Rodia and Logarou lagoons (September 2010 ñ July 2011)	HumanObservation	3468	GR-Amvrakikos Benthic communities-1T_outC-6078	1			box corer.0.03 square meters			coastal lagoon	1T_outC	Amvrakikos Kolpos - Tsoukalio lagoon	0.5	0.5			urn:lsid:marinespecies.org:taxname:141815	Jujubinus striatus	Animalia	Mollusca	Gastropoda		Trochidae	Jujubinus		striatus	(Linnaeus, 1758)†		name in original file:Jujubinus striatus
3587	Dataset	4	Hellenic Centre for Marine Research- Institute of Marine Biology, Biotechnology and Aquaculture	Benthic communities in Amvrakikos Wetlands: Mazoma, Tsopeli,Tsoukalio, Rodia and Logarou lagoons (September 2010 ñ July 2011)	HumanObservation	3587	GR-Amvrakikos Benthic communities-1LO_outA-2697	2			box corer.0.03 square meters			coastal lagoon	1LO_outA	Amvrakikos Kolpos - Logarou lagoon	0.7	0.7			urn:lsid:marinespecies.org:taxname:181362	Venerupis aurea	Animalia	Mollusca	Bivalvia	Veneroida	Veneridae	Venerupis		aurea	(Gmelin, 1791)		name in original file:Venerupis aurea
3433	Dataset	4	Hellenic Centre for Marine Research- Institute of Marine Biology, Biotechnology and Aquaculture	Benthic communities in Amvrakikos Wetlands: Mazoma, Tsopeli,Tsoukalio, Rodia and Logarou lagoons (September 2010 ñ July 2011)	HumanObservation	3433	GR-Amvrakikos Benthic communities-2T_outA-5406	1			box corer.0.03 square meters			coastal lagoon	2T_outA	Amvrakikos Kolpos - Tsoukalio lagoon	0.5	0.5			urn:lsid:marinespecies.org:taxname:136546	Tanais dulongii	Animalia	Arthropoda	Malacostraca	Tanaidacea	Tanaidae	Tanais		dulongii	(Audouin, 1826)		name in original file:Tanais dulongii
3267	Dataset	4	Hellenic Centre for Marine Research- Institute of Marine Biology, Biotechnology and Aquaculture	Benthic communities in Amvrakikos Wetlands: Mazoma, Tsopeli,Tsoukalio, Rodia and Logarou lagoons (September 2010 ñ July 2011)	HumanObservation	3267	GR-Amvrakikos Benthic communities-1M_outC-2913	1			box corer.0.03 square meters			coastal lagoon	1M_outC	Amvrakikos Kolpos - Mazoma lagoon	0.7	0.7			urn:lsid:marinespecies.org:taxname:146761	Capitomastus minimus	Animalia	Annelida	Polychaeta		Capitellidae	Capitomastus		minimus	(Langerhans, 1881)		name in original file:Capitomastus minimus
3434	Dataset	4	Hellenic Centre for Marine Research- Institute of Marine Biology, Biotechnology and Aquaculture	Benthic communities in Amvrakikos Wetlands: Mazoma, Tsopeli,Tsoukalio, Rodia and Logarou lagoons (September 2010 ñ July 2011)	HumanObservation	3434	GR-Amvrakikos Benthic communities-2T_outD-5409	1			box corer.0.03 square meters			coastal lagoon	2T_outD	Amvrakikos Kolpos - Tsoukalio lagoon	0.5	0.5			urn:lsid:marinespecies.org:taxname:136546	Tanais dulongii	Animalia	Arthropoda	Malacostraca	Tanaidacea	Tanaidae	Tanais		dulongii	(Audouin, 1826)		name in original file:Tanais dulongii
